Data,Lançamento,Valor,MesRef,ParcelaAtual,ParcelaTotal,Parcela,Lancamento_Limpo,Categoria
2025-12-23,MP *BRASILCACAUOsascoBRA,91.49,2026-01,,,,MP *BRASILCACAUOsascoBRA,Saúde
2025-12-23,TOP PRESENTESITAPETININGABRA,95.0,2026-01,,,,TOP PRESENTESITAPETININGABRA,Compras & Casa
2025-12-23,ELEVEN COSMETICOS ITAPITAPETININGABRA,61.75,2026-01,,,,ELEVEN COSMETICOS ITAPITAPETININGABRA,Beleza
2025-12-22,THE WALT DISNEY COMPANSAO PAULOBRA,66.9,2026-01,,,,THE WALT DISNEY COMPANSAO PAULOBRA,Streaming/Assinaturas
2025-12-22,PPRO *MICROSOFTSAO PAULOBRA,60.0,2026-01,,,,PPRO *MICROSOFTSAO PAULOBRA,Streaming/Assinaturas
2025-12-21,DM *helphbomaxcomNew YorkBRA,44.9,2026-01,,,,DM *helphbomaxcomNew YorkBRA,Streaming/Assinaturas
2025-12-21,CONTA VIVOSAO PAULOBRA,75.0,2026-01,,,,CONTA VIVOSAO PAULOBRA,Compras & Casa
2025-12-19,Disney PlusSAO PAULOBRA,66.9,2026-01,,,,Disney PlusSAO PAULOBRA,Streaming/Assinaturas
2025-12-15,Shopee*DEXA IMPORTADORCuritibaBRA,43.0,2026-01,,,,Shopee*DEXA IMPORTADORCuritibaBRA,Compras & Casa
2025-12-15,PG NUVEM FLORDECRIANC JUIZ DE FORA BRA,-0.01,2026-01,,,,PG NUVEM FLORDECRIANC JUIZ DE FORA BRA,Reembolsos & Créditos
2025-12-15,NA ITAPETININGA 076,-0.01,2026-01,,,,NA ITAPETININGA 076,Reembolsos & Créditos
2025-12-15,DECATHLON SOROCABA BRA,-0.12,2026-01,,,,DECATHLON SOROCABA BRA,Reembolsos & Créditos
2025-12-15,LojasRiachuelo VOTORANTIM BRA,-0.04,2026-01,,,,LojasRiachuelo VOTORANTIM BRA,Reembolsos & Créditos
2025-12-15,AMAZON BR SAO PAULO BRA,-0.04,2026-01,,,,AMAZON BR SAO PAULO BRA,Reembolsos & Créditos
2025-12-15,MERCADOLIVREDRIPPINC So Jos do Ri BRA,-0.02,2026-01,,,,MERCADOLIVREDRIPPINC So Jos do Ri BRA,Reembolsos & Créditos
2025-12-15,MERCADOLIVRE3PRODUTO SAO PAULO BRA,-0.06,2026-01,,,,MERCADOLIVRE3PRODUTO SAO PAULO BRA,Reembolsos & Créditos
2025-12-15,CLINICALordani Centr Itapetininga BRA,-0.88,2026-01,,,,CLINICALordani Centr Itapetininga BRA,Reembolsos & Créditos
2025-12-15,MERCADOLIVRE4PRODUTO Campinas BRA,-0.09,2026-01,,,,MERCADOLIVRE4PRODUTO Campinas BRA,Reembolsos & Créditos
2025-12-15,APPLE.COM/BILLSAO PAULOBRA,9.99,2026-01,,,,APPLE.COM/BILLSAO PAULOBRA,Streaming/Assinaturas
2025-12-14,CASA E CIAITAPETININGABRA,37.44,2026-01,,,,CASA E CIAITAPETININGABRA,Compras & Casa
2025-12-14,ACAI PALACESOROCABABRA,44.35,2026-01,,,,ACAI PALACESOROCABABRA,Compras & Casa
2025-12-14,AgroverdeSrITAPETININGABRA,40.9,2026-01,,,,AgroverdeSrITAPETININGABRA,Pets
2025-12-14,CASA E CIAITAPETININGABRA,43.77,2026-01,,,,CASA E CIAITAPETININGABRA,Compras & Casa
2025-12-14,CONTA VIVOSAO PAULOBRA,75.0,2026-01,,,,CONTA VIVOSAO PAULOBRA,Compras & Casa
2025-12-13,COFESA MAX LJ 18 ITAPETININGA BRA,68.24,2026-01,,,,COFESA MAX LJ 18 ITAPETININGA BRA,Saúde
2025-12-12,NA ITAPETININGA 076,71.97,2026-01,,,,NA ITAPETININGA 076,Transporte
