data,lançamento,valor
2025-12-23,MP *BRASILCACAUOsascoBRA,91.49
2025-12-23,TOP PRESENTESITAPETININGABRA,95
2025-12-23,ELEVEN COSMETICOS ITAPITAPETININGABRA,61.75
2025-12-22,THE WALT DISNEY COMPANSAO PAULOBRA,66.9
2025-12-22,PPRO   *MICROSOFTSAO PAULOBRA,60
2025-12-21,DM     *helphbomaxcomNew YorkBRA,44.9
2025-12-21,CONTA VIVOSAO PAULOBRA,75
2025-12-19,Disney PlusSAO PAULOBRA,66.9
2025-12-15,Shopee*DEXA IMPORTADORCuritibaBRA,43
2025-04-06,PRODUTOS GLOBO    09/12RIO DE JANEIR BR,17.9
2025-03-06,Passei Direto S/  10/12Rio Janeiro   BR,19.9
